"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Mirran Bardiche","W","C","226090","6.97","31282","9.92","68162","54.1%","10275","52.9%","14660","54.0%","24935","53.6%","43198","54.4%","-0.8pp"
"Titanic Growth","G","C","227395","6.91","30337","9.92","75622","54.7%","11572","54.7%","16181","55.8%","27753","55.3%","47832","54.3%","1.0pp"
"Dross Skullbomb","","C","228751","6.86","27479","9.93","58187","51.2%","10035","47.1%","13399","51.6%","23434","49.7%","34591","52.2%","-2.5pp"
"Vat of Rebirth","B","U","80061","6.47","8300","9.94","7957","46.6%","1318","40.4%","1831","44.5%","3149","42.7%","4784","49.0%","-6.2pp"
"Fleshless Gladiator","B","C","223750","6.75","23948","9.95","54659","51.5%","9737","49.8%","12391","50.8%","22128","50.4%","32490","52.2%","-1.9pp"
"Nahiri's Sacrifice","R","U","83350","7.00","11529","9.97","12099","51.1%","1814","46.5%","2693","48.5%","4507","47.7%","7586","53.1%","-5.4pp"
"Thirsting Roots","G","C","222536","6.70","24722","9.98","54788","50.8%","9651","48.6%","12206","49.0%","21857","48.8%","32806","52.1%","-3.3pp"
"Leonin Lightbringer","W","C","223330","6.92","27932","10.00","60066","54.1%","10231","53.3%","12490","51.7%","22721","52.4%","37343","55.1%","-2.6pp"
"Orthodoxy Enforcer","W","C","225239","6.94","28198","10.02","56601","52.9%","9026","50.6%","12481","51.5%","21507","51.1%","35058","54.0%","-2.8pp"
"Molten Rebuke","R","C","225718","7.07","32611","10.06","65644","53.9%","9668","52.0%","14834","54.4%","24502","53.4%","41129","54.1%","-0.6pp"
"Offer Immortality","B","C","223517","6.81","24059","10.08","58300","52.4%","9022","52.2%","13190","53.1%","22212","52.7%","36005","52.2%","0.5pp"
"Forgehammer Centurion","R","C","227327","7.17","32488","10.14","69369","54.1%","11605","53.3%","15073","52.4%","26678","52.8%","42663","55.0%","-2.2pp"
"The Dross Pits","","C","231837","6.98","26444","10.14","100702","53.2%","17358","53.4%","23114","51.6%","40472","52.4%","59568","53.7%","-1.4pp"
"The Autonomous Furnace","","C","234788","7.41","37835","10.24","160838","56.2%","28396","55.9%","34743","52.6%","63139","54.1%","96021","57.6%","-3.5pp"
"Gleeful Demolition","R","U","85452","7.16","11766","10.29","10815","53.9%","1728","52.6%","2344","53.0%","4072","52.8%","6739","54.5%","-1.7pp"
"Testament Bearer","B","C","231262","7.25","27716","10.34","52265","53.2%","8575","53.7%","12197","54.8%","20772","54.4%","31309","52.4%","2.0pp"
"Furnace Skullbomb","","C","234197","7.49","35636","10.37","68849","53.4%","12065","49.2%","15330","51.6%","27395","50.5%","41380","55.2%","-4.7pp"
"Tamiyo's Logbook","U","U","84587","7.25","10362","10.43","11837","49.4%","1919","42.8%","2795","46.9%","4714","45.2%","7094","52.0%","-6.8pp"
"Maze Skullbomb","","C","235127","7.28","30727","10.43","51510","53.2%","8901","49.1%","11113","52.2%","20014","50.8%","31462","54.7%","-3.8pp"
"Expand the Sphere","G","U","80394","6.58","7507","10.46","5359","47.3%","845","40.7%","1259","45.9%","2104","43.8%","3234","49.4%","-5.6pp"
"Quicksilver Fisher","U","C","227327","7.26","25570","10.53","40740","50.5%","6353","49.3%","10159","52.8%","16512","51.5%","23995","49.8%","1.7pp"
"Carnivorous Canopy","G","C","227464","7.04","24699","10.53","38125","51.5%","5847","49.5%","8573","51.6%","14420","50.8%","23653","51.9%","-1.2pp"
"Escaped Experiment","U","C","230899","7.67","30554","10.58","65242","52.0%","11512","51.4%","14681","50.7%","26193","51.0%","38954","52.7%","-1.6pp"
